製品名,メーカー名,分類,医薬品の種類,効能効果,用法用量,年齢制限,成分,禁止物質あり,競技会区分,条件,pmda_薬効分類,pmda_リスク区分
セシオンハイProEX,小林薬品工業,指定第2類,風邪薬,"かぜの諸症状(のどの痛み,せき,たん,鼻水,鼻づまり,くしゃみ,発熱,悪寒,頭痛,関節の痛み,筋肉の痛み)の緩和","次の量を,食後なるべく30分以内に水又はぬるま湯で服用してください。  [年齢:1回量:服用回数] 成人(15才以上):3錠:1日3回 15才未満:服用しないこと",[年齢:1回量:服用回数] 成人(15才以上):3錠:1日3回 15才未満:服用しないこと,"イブプロフェン
カンゾウ乾燥エキス
クロルフェニラミンマレイン酸塩
ジヒドロコデインリン酸塩
チアミン硝化物
トラネキサム酸
リボフラビン
無水カフェイン
dl−メチルエフェドリン塩酸塩
L−カルボシステイン",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が1ミリリットルにつき10マイクログラムを超える場合には、禁止する,,
セシオンハイPro,小林薬品工業,指定第2類,風邪薬,"かぜの諸症状(のどの痛み,せき,たん,鼻水,鼻づまり,くしゃみ,発熱,悪寒,頭痛,関節の痛み,筋肉の痛み)の緩和","次の量を,食後なるべく30分以内に水又はぬるま湯で服用してください。  [年齢:1回量:服用回数] 成人(15才以上):3錠:1日3回 15才未満:服用しないこと",[年齢:1回量:服用回数] 成人(15才以上):3錠:1日3回 15才未満:服用しないこと,"アンブロキソール塩酸塩
イブプロフェン
カンゾウ乾燥エキス
クロルフェニラミンマレイン酸塩
ジヒドロコデインリン酸塩
トラネキサム酸
リボフラビン
無水カフェイン
dl−メチルエフェドリン塩酸塩
L−カルボシステイン",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が1ミリリットルにつき10マイクログラムを超える場合には、禁止する,,
セシオンせき止めEX顆粒,小林薬品工業,指定第2類,風邪薬,"せき,たん","次の1回量を,1日3回食後に水又はぬるま湯で服用してください。  [年齢:1回量] 成人(15才以上):1包 12才〜14才:2/3包 12才未満:服用しないこと",[年齢:1回量] 成人(15才以上):1包 12才〜14才:2/3包 12才未満:服用しないこと,"カンゾウ乾燥エキス
キキョウ乾燥エキス
クレマスチンフマル酸塩
ジヒドロコデインリン酸塩
無水カフェイン
dl−メチルエフェドリン塩酸塩
L−カルボシステイン",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が1ミリリットルにつき10マイクログラムを超える場合には、禁止する,,
セシオンせき止めEX液,小林薬品工業,指定第2類,風邪薬,"せき,たん","次の1回量を,1日3回食後に服用してください。(添付の目盛付コップではかり服用してください。)  [年齢:1回量] 成人(15才以上):10mL 12才〜14才:6.6mL 12才未満:服用しないこと",)  [年齢:1回量] 成人(15才以上):10mL 12才〜14才:6.6mL 12才未満:服用しないこと,"カンゾウエキス
キキョウ流エキス
クロルフェニラミンマレイン酸塩
ジヒドロコデインリン酸塩
無水カフェイン
dl−メチルエフェドリン塩酸塩
L−カルボシステイン",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が1ミリリットルにつき10マイクログラムを超える場合には、禁止する,,
セシオンせき止めEX,小林薬品工業,指定第2類,風邪薬,"せき,たん","次の1回量を,1日3回食後に水又はぬるま湯で服用してください。  [年齢:1回量] 成人(15才以上):2錠 12才〜14才:1錠 12才未満:服用しないこと",[年齢:1回量] 成人(15才以上):2錠 12才〜14才:1錠 12才未満:服用しないこと,"キキョウ乾燥エキス
クレマスチンフマル酸塩
ジヒドロコデインリン酸塩
無水カフェイン
dl−メチルエフェドリン塩酸塩
L−カルボシステイン",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が1ミリリットルにつき10マイクログラムを超える場合には、禁止する,,
せき止め顆粒スティック,パナケイア製薬,第3類,風邪薬,たん、せき、のどの炎症による声がれ・のどのあれ・のどの不快感,次の量を水なしで服用してください。服用間隔は2時間以上おいてください。3才未満の小児は服用しないでください。      年齢      1回量 1日服用回数  成人(15才以上)     1包  6回  11才以上15才未満  2/3包  6回   7才以上11才未満  1/2包  6回   3才以上 7才未満  1/3包  6回,3才未満の小児は服用しないでください,"アセンヤク末
カンゾウ末
キキョウ末
キョウニン末
セネガ末
ニンジン末",禁止物質なし,,,,
せき止め錠OR,奥田製薬,指定第2類,風邪薬,"せき,たん","次の1回量を1日3回なるべく空腹時をさけ,4時間以上あけて水又はぬるま湯で服用してください。  [年齢:1回量] 15才以上:3錠 12才以上15才未満:2錠 12才未満:服用しないこと",[年齢:1回量] 15才以上:3錠 12才以上15才未満:2錠 12才未満:服用しないこと,"クロルフェニラミンマレイン酸塩
グアイフェネシン
ジヒドロコデインリン酸塩
ノスカピン
バクモンドウ乾燥エキス
無水カフェイン
dl−メチルエフェドリン塩酸塩",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が1ミリリットルにつき10マイクログラムを超える場合には、禁止する,,
せき止め液PR,奥田製薬,指定第2類,風邪薬,"せき,たん","次の1回量を1日3回毎食後及び必要な場合には,就寝前に服用してください。又,場合によっては,1日6回まで約4時間の間隔をおいて服用してください。  [1回量] 15才以上:10mL 12才以上15才未満:6mL 12才未満:服用しないこと",[1回量] 15才以上:10mL 12才以上15才未満:6mL 12才未満:服用しないこと,"キキョウエキス
クロルフェニラミンマレイン酸塩
グアイフェネシン
ジヒドロコデインリン酸塩
無水カフェイン
dl−メチルエフェドリン塩酸塩",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が1ミリリットルにつき10マイクログラムを超える場合には、禁止する,,
せき止め液OR10,奥田製薬,指定第2類,風邪薬,"せき,たん","次の1回量を1日3回毎食後及び必要な場合には,就寝前に服用してください。又,場合によっては,1日6回まで約4時間の間隔をおいて服用してください。  [1回量] 15才以上:1本(10mL) 15才未満:服用しないこと",[1回量] 15才以上:1本(10mL) 15才未満:服用しないこと,"グアイフェネシン
ジヒドロコデインリン酸塩
バクモンドウ流エキス
無水カフェイン
d−クロルフェニラミンマレイン酸塩
dl−メチルエフェドリン塩酸塩",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が1ミリリットルにつき10マイクログラムを超える場合には、禁止する,,
せき止め液C3,日新薬品工業,指定第2類,風邪薬,せき、たん,次の量を食後及び必要な場合には就寝前に服用してください。場合により、1日6回まで服用できますが、このような場合には約4時間の間隔をおいてください。  [年齢:1回量] 成人(15歳以上):10mL 12歳以上15歳未満:6.5mL 12歳未満:服用しないでください。 [1日服用回数] 通常1日3回服用します。場合により1日6回まで服用しても差し支えありませんが、その場合は約4時間の間隔をおいて服用してください。 ・添付の計量カップをご使用ください。,[年齢:1回量] 成人(15歳以上):10mL 12歳以上15歳未満:6.5mL 12歳未満:服用しないでください,"キキョウ流エキス
クロルフェニラミンマレイン酸塩
グアヤコールスルホン酸カリウム
ジヒドロコデインリン酸塩
ナンテンジツ流エキス
バクモンドウ流エキス
dl−メチルエフェドリン塩酸塩",禁止物質あり,常に禁止(競技会検査及び競技会外検査)セクション	:S3. ベータ−2作用剤,,,
セキリックW液,米田薬品,指定第2類,風邪薬,"せき,たん","添付の計量カップで次の量をはかり,1日3回毎食後および必要な場合には就寝前に服用してください。また場合によっては1日6回まで服用しても差し支えありませんが,1日6回服用する場合には原則として約4時間の間隔をおいて服用してください。  [年齢:1回量:服用回数] 12才以上:5mL:1日3回 12才未満:服用しないでください",[年齢:1回量:服用回数] 12才以上:5mL:1日3回 12才未満:服用しないでください,"クロルフェニラミンマレイン酸塩
グアイフェネシン
ジヒドロコデインリン酸塩
無水カフェイン
dl−メチルエフェドリン塩酸塩",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が1ミリリットルにつき10マイクログラムを超える場合には、禁止する,,
セキポンS,美吉野製薬,指定第2類,風邪薬,"せき,たん","次の量を1日3回食後,水又は白湯で服用してください。  [年齢:1回量] 成人(15歳以上):1包 12歳以上15歳未満:2/3包 12歳未満:服用しないでください。",[年齢:1回量] 成人(15歳以上):1包 12歳以上15歳未満:2/3包 12歳未満:服用しないでください,"クロルフェニラミンマレイン酸塩
ジヒドロコデインリン酸塩
無水カフェイン
麦門冬乾燥エキス
dl−メチルエフェドリン塩酸塩",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が1ミリリットルにつき10マイクログラムを超える場合には、禁止する,,
セキポニン,丸太中嶋製薬,指定第2類,風邪薬,"せき,たん",大人15才以上:1回1包 12才以上15才未満:1回2/3包 1日3回食後に服用する。 12才未満の小児は服用しないこと。,12才未満の小児は服用しないこと,"キキョウ末
クロルフェニラミンマレイン酸塩
グアイフェネシン
ジヒドロコデインリン酸塩
無水カフェイン
dl−メチルエフェドリン塩酸塩",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が1ミリリットルにつき10マイクログラムを超える場合には、禁止する,,
せきピタル,日参製薬保寿堂,指定第2類,風邪薬,"せき,たん","15才以上(大人)1回:1包 11才以上15才未満1回:2/3包 8才以上11才未満1回:1/2包 5才以上8才未満1回:1/3包 3才以上5才未満1回:1/4包 1日3回,食後水又は白湯にて服用してください。",,"グアイフェネシン
ジヒドロコデインリン酸塩
無水カフェイン
dl−メチルエフェドリン塩酸塩",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が1ミリリットルにつき10マイクログラムを超える場合には、禁止する,,
